Start Time = 10:14:53
Iteration: 100; Percent complete: 2.0%; Average loss: 4.9096
Iteration: 200; Percent complete: 4.0%; Average loss: 4.2583
Iteration: 300; Percent complete: 6.0%; Average loss: 3.9806
Iteration: 400; Percent complete: 8.0%; Average loss: 3.8644
Iteration: 500; Percent complete: 10.0%; Average loss: 3.7884
Iteration: 600; Percent complete: 12.0%; Average loss: 3.6988
Iteration: 700; Percent complete: 14.0%; Average loss: 3.6248
Iteration: 800; Percent complete: 16.0%; Average loss: 3.5881
Iteration: 900; Percent complete: 18.0%; Average loss: 3.5666
Iteration: 1000; Percent complete: 20.0%; Average loss: 3.4964
Iteration: 1100; Percent complete: 22.0%; Average loss: 3.4558
Iteration: 1200; Percent complete: 24.0%; Average loss: 3.4106
Iteration: 1300; Percent complete: 26.0%; Average loss: 3.3992
Iteration: 1400; Percent complete: 28.0%; Average loss: 3.3653
Iteration: 1500; Percent complete: 30.0%; Average loss: 3.3137
Iteration: 1600; Percent complete: 32.0%; Average loss: 3.2888
Iteration: 1700; Percent complete: 34.0%; Average loss: 3.2526
Iteration: 1800; Percent complete: 36.0%; Average loss: 3.2409
Iteration: 1900; Percent complete: 38.0%; Average loss: 3.1865
Iteration: 2000; Percent complete: 40.0%; Average loss: 3.1654
Iteration: 2100; Percent complete: 42.0%; Average loss: 3.1341
Iteration: 2200; Percent complete: 44.0%; Average loss: 3.1059
Iteration: 2300; Percent complete: 46.0%; Average loss: 3.0784
Iteration: 2400; Percent complete: 48.0%; Average loss: 3.0538
Iteration: 2500; Percent complete: 50.0%; Average loss: 3.0552
Iteration: 2600; Percent complete: 52.0%; Average loss: 2.9977
Iteration: 2700; Percent complete: 54.0%; Average loss: 2.9907
Iteration: 2800; Percent complete: 56.0%; Average loss: 2.9404
Iteration: 2900; Percent complete: 58.0%; Average loss: 2.9333
Iteration: 3000; Percent complete: 60.0%; Average loss: 2.8989
Iteration: 3100; Percent complete: 62.0%; Average loss: 2.8651
Iteration: 3200; Percent complete: 64.0%; Average loss: 2.8690
Iteration: 3300; Percent complete: 66.0%; Average loss: 2.8078
Iteration: 3400; Percent complete: 68.0%; Average loss: 2.7991
Iteration: 3500; Percent complete: 70.0%; Average loss: 2.7767
Iteration: 3600; Percent complete: 72.0%; Average loss: 2.7351
Iteration: 3700; Percent complete: 74.0%; Average loss: 2.7332
Iteration: 3800; Percent complete: 76.0%; Average loss: 2.6802
Iteration: 3900; Percent complete: 78.0%; Average loss: 2.6770
Iteration: 4000; Percent complete: 80.0%; Average loss: 2.6238
Iteration: 4100; Percent complete: 82.0%; Average loss: 2.6211
Iteration: 4200; Percent complete: 84.0%; Average loss: 2.5863
Iteration: 4300; Percent complete: 86.0%; Average loss: 2.5586
Iteration: 4400; Percent complete: 88.0%; Average loss: 2.5165
Iteration: 4500; Percent complete: 90.0%; Average loss: 2.5124
Iteration: 4600; Percent complete: 92.0%; Average loss: 2.4661
Iteration: 4700; Percent complete: 94.0%; Average loss: 2.4535
Iteration: 4800; Percent complete: 96.0%; Average loss: 2.4467
Iteration: 4900; Percent complete: 98.0%; Average loss: 2.4115
Iteration: 5000; Percent complete: 100.0%; Average loss: 2.3527
End Time = 10:30:51
